Date,EURO_Price
07-01-25,"5,289.05"
06-01-25,"5,303.24"
05-01-25,"5,366.59"
04-01-25,"5,160.22"
03-01-25,"5,248.39"
02-01-25,"5,463.54"
01-01-25,"5,286.87"
12-01-24,"4,869.28"
11-01-24,"4,804.40"
10-01-24,"4,827.63"
09-01-24,"5,000.45"
08-01-24,"4,957.98"
07-01-24,"4,872.94"
06-01-24,"4,894.02"
05-01-24,"4,983.67"
04-01-24,"4,921.22"
03-01-24,"5,083.42"
02-01-24,"4,877.77"
01-01-24,"4,648.40"
12-01-23,"4,521.65"
11-01-23,"4,382.47"
10-01-23,"4,061.12"
09-01-23,"4,174.66"
08-01-23,"4,297.11"
07-01-23,"4,471.31"
06-01-23,"4,399.09"
05-01-23,"4,218.04"
04-01-23,"4,359.31"
03-01-23,"4,315.05"
02-01-23,"4,238.38"
01-01-23,"4,163.45"
12-01-22,"3,793.62"
11-01-22,"3,964.72"
10-01-22,"3,617.54"
09-01-22,"3,318.20"
08-01-22,"3,517.25"
07-01-22,"3,708.10"
06-01-22,"3,454.86"
05-01-22,"3,789.21"
04-01-22,"3,802.86"
03-01-22,"3,902.52"
02-01-22,"3,924.23"
01-01-22,"4,174.60"
12-01-21,"4,306.07"
11-01-21,"4,063.06"
10-01-21,"4,250.56"
09-01-21,"4,048.08"
08-01-21,"4,196.41"
07-01-21,"4,089.30"
06-01-21,"4,064.30"
05-01-21,"4,039.46"
04-01-21,"3,974.74"
03-01-21,"3,919.21"
02-01-21,"3,636.44"
01-01-21,"3,481.44"
12-01-20,"3,571.59"
11-01-20,"3,492.54"
10-01-20,"2,958.21"
09-01-20,"3,193.61"
08-01-20,"3,272.51"
07-01-20,"3,174.32"
06-01-20,"3,234.07"
05-01-20,"3,050.20"
04-01-20,"2,927.93"
03-01-20,"2,786.90"
02-01-20,"3,329.49"
01-01-20,"3,640.91"
12-01-19,"3,748.47"
11-01-19,"3,703.58"
10-01-19,"3,604.41"
09-01-19,"3,569.45"
08-01-19,"3,426.76"
07-01-19,"3,466.85"
06-01-19,"3,473.69"
05-01-19,"3,280.43"
04-01-19,"3,514.62"
03-01-19,"3,351.71"
02-01-19,"3,298.26"
01-01-19,"3,159.43"
12-01-18,"2,986.53"
11-01-18,"3,173.13"
10-01-18,"3,197.51"
09-01-18,"3,399.20"
08-01-18,"3,392.90"
07-01-18,"3,525.49"
06-01-18,"3,395.60"
05-01-18,"3,406.65"
04-01-18,"3,536.52"
03-01-18,"3,361.50"
02-01-18,"3,438.96"
01-01-18,"3,609.29"
12-01-17,"3,503.96"
11-01-17,"3,569.93"
10-01-17,"3,662.18"
09-01-17,"3,594.85"
08-01-17,"3,421.47"
07-01-17,"3,449.36"
06-01-17,"3,441.88"
05-01-17,"3,554.59"
04-01-17,"3,559.59"
03-01-17,"3,500.93"
02-01-17,"3,319.61"
01-01-17,"3,230.68"
12-01-16,"3,290.52"
11-01-16,"3,051.61"
10-01-16,"3,055.25"
09-01-16,"3,002.24"
08-01-16,"3,023.13"
07-01-16,"2,990.76"
06-01-16,"2,864.74"
05-01-16,"3,063.48"
04-01-16,"3,028.21"
03-01-16,"3,004.93"
02-01-16,"2,945.75"
01-01-16,"3,045.09"
12-01-15,"3,287.98"
11-01-15,"3,506.45"
10-01-15,"3,418.23"
09-01-15,"3,100.67"
08-01-15,"3,269.63"
07-01-15,"3,600.69"
06-01-15,"3,424.30"
05-01-15,"3,570.78"
04-01-15,"3,615.59"
03-01-15,"3,697.38"
02-01-15,"3,599.00"
01-01-15,"3,351.44"
12-01-14,"3,146.43"
11-01-14,"3,250.93"
10-01-14,"3,113.32"
09-01-14,"3,225.93"
08-01-14,"3,172.63"
07-01-14,"3,115.51"
06-01-14,"3,228.24"
05-01-14,"3,244.60"
04-01-14,"3,198.39"
03-01-14,"3,161.60"
02-01-14,"3,149.23"
01-01-14,"3,013.96"
12-01-13,"3,109.00"
11-01-13,"3,086.64"
10-01-13,"3,067.95"
09-01-13,"2,893.15"
08-01-13,"2,721.37"
07-01-13,"2,768.15"
06-01-13,"2,602.59"
05-01-13,"2,769.64"
04-01-13,"2,712.00"
03-01-13,"2,624.02"
02-01-13,"2,633.55"
01-01-13,"2,702.98"
12-01-12,"2,635.93"
11-01-12,"2,575.25"
10-01-12,"2,503.64"
09-01-12,"2,454.26"
08-01-12,"2,440.71"
07-01-12,"2,325.72"
06-01-12,"2,264.72"
05-01-12,"2,118.94"
04-01-12,"2,306.43"
03-01-12,"2,477.28"
02-01-12,"2,512.11"
01-01-12,"2,416.66"
12-01-11,"2,316.55"
11-01-11,"2,330.43"
10-01-11,"2,385.22"
09-01-11,"2,179.66"
08-01-11,"2,302.08"
07-01-11,"2,670.37"
06-01-11,"2,848.53"
05-01-11,"2,861.92"
04-01-11,"3,011.25"
03-01-11,"2,910.91"
02-01-11,"3,013.09"
01-01-11,"2,953.63"
12-01-10,"2,792.82"
11-01-10,"2,650.99"
10-01-10,"2,844.99"
09-01-10,"2,747.90"
08-01-10,"2,622.95"
07-01-10,"2,742.14"
06-01-10,"2,573.32"
05-01-10,"2,610.26"
04-01-10,"2,816.86"
03-01-10,"2,931.16"
02-01-10,"2,728.47"
01-01-10,"2,776.83"
12-01-09,"2,966.24"
11-01-09,"2,797.25"
10-01-09,"2,743.50"
09-01-09,"2,872.63"
08-01-09,"2,775.17"
07-01-09,"2,638.13"
06-01-09,"2,401.69"
05-01-09,"2,451.24"
04-01-09,"2,375.34"
03-01-09,"2,071.13"
02-01-09,"1,976.23"
01-01-09,"2,236.98"
12-01-08,"2,451.48"
11-01-08,"2,430.31"
10-01-08,"2,591.76"
09-01-08,"3,038.20"
08-01-08,"3,365.63"
07-01-08,"3,367.82"
06-01-08,"3,352.81"
05-01-08,"3,777.85"
04-01-08,"3,825.02"
03-01-08,"3,628.06"
02-01-08,"3,724.50"
01-01-08,"3,792.80"
12-01-07,"4,399.72"
11-01-07,"4,394.95"
10-01-07,"4,489.79"
09-01-07,"4,381.71"
08-01-07,"4,294.56"
07-01-07,"4,315.69"
06-01-07,"4,489.77"
05-01-07,"4,512.65"
04-01-07,"4,392.34"
03-01-07,"4,181.03"
02-01-07,"4,087.12"
01-01-07,"4,178.54"
12-01-06,"4,119.94"
11-01-06,"3,987.23"
10-01-06,"4,004.80"
09-01-06,"3,899.41"
08-01-06,"3,808.70"
07-01-06,"3,691.87"
06-01-06,"3,648.92"
05-01-06,"3,637.17"
04-01-06,"3,839.90"
03-01-06,"3,853.74"
02-01-06,"3,774.51"
01-01-06,"3,691.41"
12-01-05,"3,578.93"
11-01-05,"3,447.07"
10-01-05,"3,320.15"
09-01-05,"3,428.51"
08-01-05,"3,263.78"
07-01-05,"3,326.51"
06-01-05,"3,181.54"
05-01-05,"3,076.70"
04-01-05,"2,930.10"
03-01-05,"3,055.73"
02-01-05,"3,058.32"
01-01-05,"2,984.59"
12-01-04,"2,951.24"
11-01-04,"2,876.39"