Date,FTSE100_Price
7/1/2025,"9,024.64"
6/1/2025,"8,760.96"
5/1/2025,"8,772.38"
4/1/2025,"8,494.85"
3/1/2025,"8,582.81"
2/1/2025,"8,809.74"
1/1/2025,"8,673.96"
12/1/2024,"8,173.02"
11/1/2024,"8,287.30"
10/1/2024,"8,110.10"
9/1/2024,"8,236.95"
8/1/2024,"8,376.63"
7/1/2024,"8,367.98"
6/1/2024,"8,164.12"
5/1/2024,"8,275.38"
4/1/2024,"8,144.13"
3/1/2024,"7,952.62"
2/1/2024,"7,630.02"
1/1/2024,"7,630.57"
12/1/2023,"7,733.24"
11/1/2023,"7,453.75"
10/1/2023,"7,321.72"
9/1/2023,"7,608.08"
8/1/2023,"7,439.13"
7/1/2023,"7,699.41"
6/1/2023,"7,531.53"
5/1/2023,"7,446.14"
4/1/2023,"7,870.57"
3/1/2023,"7,631.74"
2/1/2023,"7,876.28"
1/1/2023,"7,771.70"
12/1/2022,"7,451.74"
11/1/2022,"7,573.05"
10/1/2022,"7,094.53"
9/1/2022,"6,893.81"
8/1/2022,"7,284.15"
7/1/2022,"7,423.43"
6/1/2022,"7,169.28"
5/1/2022,"7,607.66"
4/1/2022,"7,544.55"
3/1/2022,"7,515.68"
2/1/2022,"7,458.25"
1/1/2022,"7,464.37"
12/1/2021,"7,384.54"
11/1/2021,"7,059.45"
10/1/2021,"7,237.57"
9/1/2021,"7,086.42"
8/1/2021,"7,119.70"
7/1/2021,"7,032.30"
6/1/2021,"7,037.47"
5/1/2021,"7,022.61"
4/1/2021,"6,969.81"
3/1/2021,"6,713.63"
2/1/2021,"6,483.43"
1/1/2021,"6,407.46"
12/1/2020,"6,460.52"
11/1/2020,"6,266.19"
10/1/2020,"5,577.27"
9/1/2020,"5,866.10"
8/1/2020,"5,963.57"
7/1/2020,"5,897.76"
6/1/2020,"6,169.74"
5/1/2020,"6,076.60"
4/1/2020,"5,901.21"
3/1/2020,"5,671.96"
2/1/2020,"6,580.61"
1/1/2020,"7,286.01"
12/1/2019,"7,542.44"
11/1/2019,"7,346.53"
10/1/2019,"7,248.38"
9/1/2019,"7,408.21"
8/1/2019,"7,207.18"
7/1/2019,"7,586.78"
6/1/2019,"7,425.63"
5/1/2019,"7,161.71"
4/1/2019,"7,418.22"
3/1/2019,"7,279.19"
2/1/2019,"7,074.73"
1/1/2019,"6,968.85"
12/1/2018,"6,728.13"
11/1/2018,"6,980.24"
10/1/2018,"7,128.10"
9/1/2018,"7,510.20"
8/1/2018,"7,432.42"
7/1/2018,"7,748.76"
6/1/2018,"7,636.93"
5/1/2018,"7,678.20"
4/1/2018,"7,509.30"
3/1/2018,"7,056.61"
2/1/2018,"7,231.91"
1/1/2018,"7,533.55"
12/1/2017,"7,687.77"
11/1/2017,"7,326.67"
10/1/2017,"7,493.08"
9/1/2017,"7,372.76"
8/1/2017,"7,430.62"
7/1/2017,"7,372.00"
6/1/2017,"7,312.72"
5/1/2017,"7,519.95"
4/1/2017,"7,203.94"
3/1/2017,"7,322.92"
2/1/2017,"7,263.44"
1/1/2017,"7,099.15"
12/1/2016,"7,142.83"
11/1/2016,"6,783.79"
10/1/2016,"6,954.22"
9/1/2016,"6,899.33"
8/1/2016,"6,781.51"
7/1/2016,"6,724.43"
6/1/2016,"6,504.33"
5/1/2016,"6,230.79"
4/1/2016,"6,241.89"
3/1/2016,"6,174.90"
2/1/2016,"6,097.09"
1/1/2016,"6,083.79"
12/1/2015,"6,242.32"
11/1/2015,"6,356.09"
10/1/2015,"6,361.09"
9/1/2015,"6,061.61"
8/1/2015,"6,247.94"
7/1/2015,"6,696.28"
6/1/2015,"6,520.98"
5/1/2015,"6,984.43"
4/1/2015,"6,960.63"
3/1/2015,"6,773.04"
2/1/2015,"6,946.66"
1/1/2015,"6,749.40"
12/1/2014,"6,566.09"
11/1/2014,"6,722.62"
10/1/2014,"6,546.47"
9/1/2014,"6,622.72"
8/1/2014,"6,819.75"
7/1/2014,"6,730.11"
6/1/2014,"6,743.94"
5/1/2014,"6,844.51"
4/1/2014,"6,780.03"
3/1/2014,"6,598.37"
2/1/2014,"6,809.70"
1/1/2014,"6,510.44"
12/1/2013,"6,749.09"
11/1/2013,"6,650.57"
10/1/2013,"6,731.43"
9/1/2013,"6,462.22"
8/1/2013,"6,412.93"
7/1/2013,"6,621.06"
6/1/2013,"6,215.47"
5/1/2013,"6,583.09"
4/1/2013,"6,430.12"
3/1/2013,"6,411.74"
2/1/2013,"6,360.81"
1/1/2013,"6,276.88"
12/1/2012,"5,897.81"
11/1/2012,"5,866.82"
10/1/2012,"5,782.70"
9/1/2012,"5,742.07"
8/1/2012,"5,711.48"
7/1/2012,"5,635.28"
6/1/2012,"5,571.15"
5/1/2012,"5,320.86"
4/1/2012,"5,737.78"
3/1/2012,"5,768.45"
2/1/2012,"5,871.51"
1/1/2012,"5,681.61"
12/1/2011,"5,572.28"
11/1/2011,"5,505.42"
10/1/2011,"5,544.22"
9/1/2011,"5,128.48"
8/1/2011,"5,394.53"
7/1/2011,"5,815.19"
6/1/2011,"5,945.71"
5/1/2011,"5,989.99"
4/1/2011,"6,069.90"
3/1/2011,"5,908.76"
2/1/2011,"5,994.01"
1/1/2011,"5,862.94"
12/1/2010,"5,899.94"
11/1/2010,"5,528.27"
10/1/2010,"5,675.16"
9/1/2010,"5,548.62"
8/1/2010,"5,225.22"
7/1/2010,"5,258.02"
6/1/2010,"4,916.87"
5/1/2010,"5,188.43"
4/1/2010,"5,553.29"
3/1/2010,"5,679.64"
2/1/2010,"5,354.52"
1/1/2010,"5,188.52"
12/1/2009,"5,412.88"
11/1/2009,"5,190.68"
10/1/2009,"5,044.55"
9/1/2009,"5,133.90"
8/1/2009,"4,908.90"
7/1/2009,"4,608.36"
6/1/2009,"4,249.21"
5/1/2009,"4,417.94"
4/1/2009,"4,243.71"
3/1/2009,"3,926.14"
2/1/2009,"3,830.09"
1/1/2009,"4,149.64"
12/1/2008,"4,434.17"
11/1/2008,"4,288.01"
10/1/2008,"4,377.34"
9/1/2008,"4,902.45"
8/1/2008,"5,636.61"
7/1/2008,"5,411.90"
6/1/2008,"5,625.90"
5/1/2008,"6,053.50"
4/1/2008,"6,087.30"
3/1/2008,"5,702.11"
2/1/2008,"5,884.28"
1/1/2008,"5,879.78"
12/1/2007,"6,456.91"
11/1/2007,"6,432.45"
10/1/2007,"6,721.57"
9/1/2007,"6,466.79"
8/1/2007,"6,303.30"
7/1/2007,"6,360.11"
6/1/2007,"6,607.90"
5/1/2007,"6,621.45"
4/1/2007,"6,449.21"
3/1/2007,"6,308.03"
2/1/2007,"6,171.47"
1/1/2007,"6,203.09"
12/1/2006,"6,220.81"
11/1/2006,"6,048.85"
10/1/2006,"6,129.22"
9/1/2006,"5,960.81"
8/1/2006,"5,906.13"
7/1/2006,"5,928.33"
6/1/2006,"5,833.42"
5/1/2006,"5,723.81"
4/1/2006,"6,023.14"
3/1/2006,"5,964.57"
2/1/2006,"5,791.54"
1/1/2006,"5,760.26"
12/1/2005,"5,618.76"
11/1/2005,"5,423.17"
10/1/2005,"5,317.28"
9/1/2005,"5,477.71"
8/1/2005,"5,296.92"
7/1/2005,"5,282.30"
6/1/2005,"5,113.16"
5/1/2005,"4,963.97"
4/1/2005,"4,801.68"
3/1/2005,"4,894.37"
2/1/2005,"4,968.50"
1/1/2005,"4,852.31"
12/1/2004,"4,814.30"
11/1/2004,"4,703.18"
10/1/2004,"4,624.21"
9/1/2004,"4,570.77"
8/1/2004,"4,459.32"
7/1/2004,"4,413.08"
6/1/2004,"4,464.07"
5/1/2004,"4,430.69"
4/1/2004,"4,489.69"
3/1/2004,"4,385.67"
2/1/2004,"4,492.21"
1/1/2004,"4,390.68"
12/1/2003,"4,476.87"
11/1/2003,"4,342.60"
10/1/2003,"4,287.59"
9/1/2003,"4,091.31"
8/1/2003,"4,161.06"
7/1/2003,"4,157.00"
6/1/2003,"4,031.20"
5/1/2003,"4,048.10"
4/1/2003,"3,926.00"
3/1/2003,"3,613.30"
2/1/2003,"3,655.60"
1/1/2003,"3,567.40"
12/1/2002,"3,940.40"
11/1/2002,"4,169.40"
10/1/2002,"4,039.70"
9/1/2002,"3,721.80"
8/1/2002,"4,227.30"
7/1/2002,"4,246.20"
6/1/2002,"4,656.40"
5/1/2002,"5,085.10"
4/1/2002,"5,165.60"
3/1/2002,"5,271.80"
2/1/2002,"5,101.00"
1/1/2002,"5,164.80"
12/1/2001,"5,217.40"
11/1/2001,"5,203.60"
10/1/2001,"5,039.70"
9/1/2001,"4,903.40"
8/1/2001,"5,345.00"
7/1/2001,"5,529.10"
6/1/2001,"5,642.50"
5/1/2001,"5,796.10"
4/1/2001,"5,966.90"
3/1/2001,"5,633.70"
2/1/2001,"5,917.90"