,iShares_World_Close,iShares_SNP500_Close,Vanguard_Global_Bond_Close
2015-01-01,1.0,1.0,1.0
2015-02-01,1.057079591585681,1.0508731966590736,0.9943394891388947
2015-03-01,1.0560954606962727,1.0399175615576526,1.0006368074718741
2015-04-01,1.0669209004797637,1.0478359908883828,0.9951178093822965
2015-05-01,1.074301882150326,1.0523917995444192,0.9900941059930658
2015-06-01,1.0452700209127814,1.0329753769389305,0.9782070331847449
2015-07-01,1.0729487021773896,1.0593339841631413,0.9891035165923723
2015-08-01,0.9976872924098905,0.9894326933506888,0.9852119153753626
2015-09-01,0.959527617173084,0.9588892504610045,0.9918630156371612
2015-10-01,1.037273957436339,1.0475105759843801,0.9954715913111157
2015-11-01,1.0447779554680772,1.0508731966590736,0.9961083987829901
2015-12-01,1.0247262885963833,1.036121054344289,0.9922875539517442
2016-01-01,0.9467339156107762,0.9592146653650071,1.0070756385763815
2016-02-01,0.9534998154754583,0.9822106519145244,1.0164862378829689
2016-03-01,0.9972936400541272,1.0374227139602994,1.0251892733319181
2016-04-01,1.000123016361176,1.0339516216509383,1.0263213755041392
2016-05-01,1.0210357977611022,1.0559713634884478,1.0300714639496213
2016-06-01,0.9998769836388239,1.0481614057923854,1.0519351871506402
2016-07-01,1.0474843154139502,1.096431283219438,1.0586570437982028
2016-08-01,1.0526510025833435,1.0951296236034278,1.0578787235548006
2016-09-01,1.0560954606962727,1.0957804534114328,1.0570296469256348
2016-10-01,1.0489605117480625,1.0756047293632716,1.0442227411023846
2016-11-01,1.0775003075409029,1.1145460462089163,1.0251892733319181
2016-12-01,1.10800836511256,1.1390606356437791,1.027170452133305
2017-01-01,1.1123139377537212,1.1451350471851611,1.0228543126017122
2017-02-01,1.151802189691229,1.196876016921575,1.0314158352791338
2017-03-01,1.1627506458358963,1.1973099034602452,1.02985919479233
2017-04-01,1.1735760856193873,1.2057706909643129,1.0360857567395456
2017-05-01,1.188584081682864,1.2180279856817442,1.0414632420575956
2017-06-01,1.1864928035428712,1.2256210001084715,1.0379254227694048
2017-07-01,1.2045762086357485,1.2503525328126694,1.0403311398853745
2017-08-01,1.2035920777463402,1.2491593448313265,1.048680393405505
2017-09-01,1.22967154631566,1.2722638030155113,1.0426661006155806
2017-10-01,1.2627629474720137,1.3032866905304263,1.0480435859336303
2017-11-01,1.2791241235084265,1.3374552554506995,1.0488219061770323
2017-12-01,1.2992988067412965,1.365115522290921,1.0476898040048113
2018-01-01,1.3426005658752613,1.4251003362620676,1.0410387037430127
2018-02-01,1.2997908721860008,1.386050547781755,1.0369348333687116
2018-03-01,1.2547668839955715,1.3279097515999565,1.0419585367579423
2018-04-01,1.2916717923483823,1.349712550168131,1.0379961791551686
2018-05-01,1.2992988067412965,1.3712984054669703,1.0394820632562087
2018-06-01,1.306802804773035,1.382362512203059,1.0400481143423195
2018-07-01,1.3407553204576208,1.4207614708753662,1.0390575249416258
2018-08-01,1.354410136548161,1.4624145785876994,1.0407556781999574
2018-09-01,1.3673268544716448,1.47250244061178,1.0355904620391991
2018-10-01,1.2711280600319843,1.3673934266189391,1.0319818863652443
2018-11-01,1.2759256981178497,1.3793253064323678,1.0354489492676713
2018-12-01,1.1831713617911181,1.2631521857034385,1.0465577018325902
2019-01-01,1.2612867511379013,1.3548107169975052,1.0574541852402177
2019-02-01,1.3034813630212818,1.3990671439418592,1.0570296469256348
2019-03-01,1.3195965063353425,1.417724265104675,1.0755678199957543
2019-04-01,1.3657276417763562,1.4690313483024189,1.0747894997523526
2019-05-01,1.2916717923483823,1.385616661243085,1.0875256491898393
2019-06-01,1.3593307909952024,1.465994142531728,1.1012523880280194
2019-07-01,1.388116619510395,1.5079726651480638,1.1092478596193307
2019-08-01,1.3457989912658384,1.458075713200998,1.1342248637939574
2019-09-01,1.3796284905892484,1.4894240156199154,1.1268661996745204
2019-10-01,1.3994341247385902,1.5119861156307626,1.123540649543621
2019-11-01,1.449009718292533,1.5714285714285714,1.1208519068845961
2019-12-01,1.4710296469430435,1.6076580974075279,1.1160404726526567
2020-01-01,1.4722598105548037,1.6134070940449072,1.137691926696384
2020-02-01,1.3294378152294255,1.4510250569476082,1.1504988325196348
2020-03-01,1.1880920162381596,1.3125067794771668,1.1284935965470884
2020-04-01,1.2900725796530939,1.442455797808873,1.1457581546734592
2020-05-01,1.341739451347029,1.4945221824492896,1.1504988325196348
2020-06-01,1.3781522942551359,1.5280399175615575,1.1582820349536544
2020-07-01,1.4208389715832206,1.6072242108688577,1.1721502865633622
2020-08-01,1.5110099643252553,1.7282785551578261,1.162315148942192
2020-09-01,1.4737360068889163,1.6701377589760278,1.1681171725748247
2020-10-01,1.425021527863206,1.6178544310662761,1.1676926342602418
2020-11-01,1.5849427973920531,1.7792602234515673,1.175688105851553
2020-12-01,1.6371017345306926,1.8429330730014102,1.1778107974244676
2021-01-01,1.635256489113052,1.8448855624254257,1.1702398641477392
2021-02-01,1.6733915610776233,1.8899012908124526,1.1505695889053986
2021-03-01,1.7411735760856193,1.96832628267708,1.1438477322578362
2021-04-01,1.8117849674006643,2.070289619264562,1.1464657185310974
2021-05-01,1.8339279124123509,2.0869942510033628,1.1488006792613032
2021-06-01,1.8712018698486899,2.1308167914090466,1.155381023137338
2021-07-01,1.9058924837003322,2.183642477492136,1.170027594990448
2021-08-01,1.9579284044777956,2.249376288100662,1.1671265831741313
2021-09-01,1.8971583220568335,2.1675886755613405,1.1545319465081723
2021-10-01,1.983269774880059,2.2812669486929167,1.15078185806269
2021-11-01,1.9610038135071965,2.279639874172904,1.1594141371258757
2021-12-01,2.0314921884610655,2.369454387677622,1.1525507677067854
2022-01-01,1.908598843646205,2.212278989044365,1.1318899030637515
2022-02-01,1.8827654077992373,2.1800629135481073,1.1153329087950186
2022-03-01,1.9542379136425145,2.287558303503634,1.0870303544894926
2022-04-01,1.8256858162135563,2.093394077448747,1.0519351871506402
2022-05-01,1.7877967769713372,2.045449614925697,1.0498832519634895
2022-06-01,1.6478041579530078,1.8724373576309794,1.0307790278072595
2022-07-01,1.767376061016115,2.026033192320208,1.0590108257270217
2022-08-01,1.7214909582974536,1.9700618288317604,1.02448170947428
2022-09-01,1.594538073563784,1.8074628484651263,0.984645864289252
2022-10-01,1.6799114282199532,1.9071482807245905,0.9792683789712021
2022-11-01,1.7288719399680157,1.9440286365115522,1.00686336941909
2022-12-01,1.6736375937999755,1.8814405033083847,0.9904478879218848
2023-01-01,1.774018944519621,1.984380084607875,1.0157786740253307
2023-02-01,1.7585188830114404,1.9554181581516434,0.9952593221538243
2023-03-01,1.7880428096936893,2.0041219221173665,1.0182551475270643
2023-04-01,1.8165826054865297,2.037314242325632,1.0224297742871293
2023-05-01,1.8122770328453683,2.0457750298296995,1.0161324559541498
2023-06-01,1.9173330052897035,2.179629027009437,1.0135852260666525
2023-07-01,1.9734284659859762,2.2480746284846513,1.0135852260666525
2023-08-01,1.9441505720260794,2.2217160212604403,1.0108257270218637
2023-09-01,1.875015377045147,2.115739234190259,0.9898818368357744
2023-10-01,1.8124000492065444,2.044690313483024,0.9819571216302271
2023-11-01,1.956452208143683,2.2254040568391367,1.0174060708978985
2023-12-01,2.0487144790257106,2.3421195357414035,1.0515106488360575
2024-01-01,2.0927543363267316,2.391148714611129,1.0483973678624494
2024-02-01,2.172714971091155,2.488122356003905,1.0383499610839877
2024-03-01,2.249969245909706,2.576201323353943,1.0476190476190474
2024-04-01,2.1900602780169764,2.493979824275952,1.0280902851482345
2024-05-01,2.2445565260179605,2.5566764291137867,1.037430128069058
2024-06-01,2.334358469676467,2.70126911812561,1.045496356046133
2024-07-01,2.3493664657399433,2.7172144484217378,1.066935540932569
2024-08-01,2.3779062615327837,2.7508406551686733,1.0781858062690157
2024-09-01,2.416041333497355,2.8190693133745524,1.0911342248637939
2024-10-01,2.409152417271497,2.8170083523158693,1.0732328592655487
2024-11-01,2.5218354041087463,2.9686516975810826,1.0873841364183117
2024-12-01,2.4854225612006395,2.9191886321726868,1.0745064742092973
